region,listing_no,listing_title,image_file,image_no,page,width,height,caption,extracted
Central & East Cornwall,1,"Piskey's Hall Fogou, Constantine",central_east_cornwall_listing_01_1.jpg,1,8,284,300,,copied
Central & East Cornwall,1,"Piskey's Hall Fogou, Constantine",central_east_cornwall_listing_01_2.jpg,2,8,284,326,,copied
Central & East Cornwall,2,"Poldhu Cove, Mullion",central_east_cornwall_listing_02_1.jpg,1,8,874,447,,copied
Central & East Cornwall,3,"Carn Brea, Redruth",central_east_cornwall_listing_03_1.jpg,1,8,284,261,,copied
Central & East Cornwall,4,"Ralph's Cupboard, Portreath",central_east_cornwall_listing_04_1.jpg,1,8,581,403,,copied
Central & East Cornwall,5,"Carne Beacon, Veryan",central_east_cornwall_listing_05_1.jpg,1,8,581,403,,copied
Central & East Cornwall,6,"Holywell Cave, Holywell",central_east_cornwall_listing_06_1.jpg,1,9,874,538,,copied
Central & East Cornwall,7,St Agnes Beacon & Chapel Porth,central_east_cornwall_listing_07_1.jpg,1,9,577,238,,copied
Central & East Cornwall,7,St Agnes Beacon & Chapel Porth,central_east_cornwall_listing_07_2.jpg,2,9,577,376,,copied
Central & East Cornwall,8,"Mawgan Porth, Newquay",central_east_cornwall_listing_08_1.jpg,1,9,874,553,,copied
Central & East Cornwall,9,"Menacuddle Well, St Austell",central_east_cornwall_listing_09_1.jpg,1,10,577,398,,copied
Central & East Cornwall,10,"Nine Maidens & St Breock Downs, St Columb Major",central_east_cornwall_listing_10_1.jpg,1,10,282,401,,copied
Central & East Cornwall,11,Roche Rock,central_east_cornwall_listing_11_1.jpg,1,10,284,324,,copied
Central & East Cornwall,11,Roche Rock,central_east_cornwall_listing_11_2.jpg,2,10,579,323,,copied
Central & East Cornwall,12,"Doom Bar, Padstow",central_east_cornwall_listing_12_1.jpg,1,10,577,350,,copied
Central & East Cornwall,13,"Fairies' Well, Tregenna, Blisland",central_east_cornwall_listing_13_1.jpg,1,10,579,398,,copied
