pdf,region,page,image,size,issue
Magical-Britain-listings-only.pdf,Southwest England,25,"badge@514,287",-,badge marker with no usable number (0)
Magical-Britain-listings-only.pdf,Southwest England,29,"badge@514,287",-,badge marker with no usable number (0)
Magical-Britain-listings-only.pdf,Southwest England,32,"badge@20,421",-,badge marker with no usable number (0)
Magical-Britain-listings-only.pdf,Lancashire & Yorkshire,56,Im3,577x358,"ambiguous badges [11, 12]"
Magical-Britain-listings-only.pdf,North Wales,70,Im0,577x268,no badge found
Magical-Britain-listings-only.pdf,North Wales,70,Im1,577x271,no badge found
Magical-Britain-listings-only.pdf,North Wales,72,Im5,581x285,no badge found
Magical-Britain-listings-only.pdf,North Wales,72,Im4,284x285,no badge found
Magical-Britain-listings-only.pdf,South Wales,79,"badge@20,447",-,badge marker with no usable number (2)
Magical-Britain-listings-only.pdf,South Wales,79,"badge@20,447",-,badge marker with no usable number (2)
Magical-Britain-listings-only.pdf,South Wales,79,Im1,577x311,no badge found
Magical-Britain-listings-only.pdf,Scottish Lowlands,94,Im1,578x589,no badge found
Magical-Britain-listings-only.pdf,Scottish Lowlands,94,Im3,577x362,no badge found
Magical-Britain-listings-only.pdf,Scottish Lowlands,94,Im2,284x584,no badge found
Magical-Britain-listings-only.pdf,Scottish Lowlands,94,Im4,577x251,no badge found
Magical-Britain-listings-only.pdf,Scottish Lowlands,94,Im0,875x502,no badge found
Magical-Britain-listings-only.pdf,Central Scotland,101,Im2,577x362,no badge found
Magical-Britain-listings-only.pdf,Central Scotland,104,Im11,284x296,no badge found
Magical-Britain-listings-only.pdf,Eastern England,-,-,-,listings with no image: [10]
Magical-Britain-listings-only.pdf,Lancashire & Yorkshire,-,-,-,listings with no image: [11]
Magical-Britain-listings-only.pdf,North Wales,-,-,-,"listings with no image: [7, 8, 16]"
Magical-Britain-listings-only.pdf,Scottish Lowlands,-,-,-,"listings with no image: [13, 14]"
Magical-Britain-listings-only.pdf,Central Scotland,-,-,-,listings with no image: [22]
