region,listing_no,listing_title,image_file,image_no,page,width,height,caption,extracted
Aberdeenshire & Cairngorms,1,Huntly Castle (Huntly),aberdeenshire_cairngorms_listing_01_1.jpg,1,118,657,832,,re-encoded (jpeg 2000)
Aberdeenshire & Cairngorms,2,Newark Castle (St Monans),aberdeenshire_cairngorms_listing_02_1.jpg,1,118,660,833,,re-encoded (jpeg 2000)
Aberdeenshire & Cairngorms,3,Dunnottar Castle (Stonehaven),aberdeenshire_cairngorms_listing_03_1.jpg,1,117,1600,1395,,re-encoded (jpeg 2000)
Aberdeenshire & Cairngorms,3,Dunnottar Castle (Stonehaven),aberdeenshire_cairngorms_listing_03_2.jpg,2,118,692,830,,re-encoded (jpeg 2000)
Aberdeenshire & Cairngorms,4,"Knock Castle, (Near Ballater)",aberdeenshire_cairngorms_listing_04_1.jpg,1,118,695,830,,re-encoded (jpeg 2000)
Aberdeenshire & Cairngorms,7,Ruthven Barracks (Kingussie),aberdeenshire_cairngorms_listing_07_1.jpg,1,119,1296,1600,,re-encoded (jpeg 2000)
Aberdeenshire & Cairngorms,9,"St Fillan’s Church (Kirkton Barns, Tayport)",aberdeenshire_cairngorms_listing_09_1.jpg,1,120,527,747,,re-encoded (jpeg 2000)
Aberdeenshire & Cairngorms,12,Achalader Mausoleum,aberdeenshire_cairngorms_listing_12_1.jpg,1,120,1077,461,,re-encoded (jpeg 2000)
Brontë Country,1,Top Withens (Haworth),bronte_country_listing_01_1.jpg,1,93,1600,1395,,re-encoded (jpeg 2000)
Brontë Country,2,Wycoller Hall (Near Colne),bronte_country_listing_02_1.jpg,1,94,660,830,,re-encoded (jpeg 2000)
Brontë Country,3,Yorke’s Folly (Pateley Bridge),bronte_country_listing_03_1.jpg,1,94,660,830,,re-encoded (jpeg 2000)
Brontë Country,4,Sawley Abbey (Sawley),bronte_country_listing_04_1.jpg,1,94,693,830,,re-encoded (jpeg 2000)
Brontë Country,5,"Druid’s Temple (Ilton, Ripon)",bronte_country_listing_05_1.jpg,1,95,1296,1600,,re-encoded (jpeg 2000)
Brontë Country,8,Hackfall (Grewelthorpe),bronte_country_listing_08_1.jpg,1,94,685,833,,re-encoded (jpeg 2000)
Brontë Country,9,Fountains Abbey (Studley Water Gardens),bronte_country_listing_09_1.jpg,1,96,1299,1600,,re-encoded (jpeg 2000)
Brontë Country,9,Fountains Abbey (Studley Water Gardens),bronte_country_listing_09_2.jpg,2,96,513,619,,re-encoded (jpeg 2000)
Cornwall,1,"Botallack Mine (Botallack, St Just)",cornwall_listing_01_1.jpg,1,18,691,830,,re-encoded (jpeg 2000)
Cornwall,1,"Botallack Mine (Botallack, St Just)",cornwall_listing_01_2.jpg,2,18,660,830,,re-encoded (jpeg 2000)
Cornwall,2,St Helen’s Oratory (And Cape Cornwall Tin Mine),cornwall_listing_02_1.jpg,1,18,660,833,,re-encoded (jpeg 2000)
Cornwall,6,Roche Rock (Roche Village),cornwall_listing_06_1.jpg,1,19,1296,1600,,re-encoded (jpeg 2000)
Cornwall,7,Wheal Coates (St Agnes),cornwall_listing_07_1.jpg,1,17,1600,1417,,re-encoded (jpeg 2000)
Cornwall,7,Wheal Coates (St Agnes),cornwall_listing_07_2.jpg,2,18,693,833,,re-encoded (jpeg 2000)
Cornwall,7,Wheal Coates (St Agnes),cornwall_listing_07_3.jpg,3,19,506,650,,re-encoded (jpeg 2000)
Cornwall,8,Ding Dong Mine (Bosiliack),cornwall_listing_08_1.jpg,1,20,504,559,,re-encoded (jpeg 2000)
Cornwall,10,Luxulyan Valley (Blazey),cornwall_listing_10_1.jpg,1,20,1077,677,,re-encoded (jpeg 2000)
Cumbria & the Pennines,1,Brough Castle (Brough),cumbria_the_pennines_listing_01_1.jpg,1,102,660,833,,re-encoded (jpeg 2000)
