name,lat,lng,region,grade,crag,lists,description,url
South to North Traverse (The Cobbler),56.21300,-4.80820,Argyll and Bute,Grade-3,The Cobbler,british_3_star,"Grade 3 scramble · The Cobbler · ★★★

The south-to-north traverse of The Cobbler's three summits in the Arrochar Alps — exposed schist scrambling, with the famous 'threading the needle' move onto the true summit block.",https://www.ukclimbing.com/logbook/crags/the_cobbler-594/south_to_north_traverse-620030
A' Chir Ridge Traverse (A'Chir),55.62940,-5.23250,Arran,M,A'Chir,british_3_star,"Moderate (easy rock climb) · A'Chir · ★★★

This fine ridge, one of the best in Scotland outside Skye, gives a splendid outing. Much variation is possible and this is the grade for the easiest line traversing from south to north.",https://www.ukclimbing.com/logbook/crags/achir-279/a_chir_ridge_traverse-3
The Round Of Glen Sannox (Caisteal Abhail),55.64730,-5.23110,Arran,Grade-2,Caisteal Abhail,british_3_star,"Grade 2 scramble · Caisteal Abhail · ★★★

from Sannox, ascend the nose of Suidhe Fhearghas summit and follow the ridge anti-clockwise over Caisteal Abhail summit, Cir Mhor summit, North Goatfell, Mullach Buidhe summit and Cioch na h-Oighe. There are numerous sections of scrambling, including the Witch's Step (avoiding the direct descent to the bealach which would be Diff), the descents from Caisteal Abhail (line not obvious from above) and Cir Mhor, and traversing Cioch na h-Oighe. Just as fine, if not better, in reverse, this is a contender for the best day's ridge walking in Britain. Would be worth 4 stars if that were available.",https://www.ukclimbing.com/logbook/crags/caisteal_abhail-309/the_round_of_glen_sannox-151797
Carneddau Traverse (Carnedd Llewelyn),53.16020,-3.97040,Conwy,Grade-1,Carnedd Llewelyn,ridges_ewi,"Grade 1 scramble · Carnedd Llewelyn · ★★★

Day-long hike taking in multiple 3000ft mountain summits, usually including Foel Fras, Carnedd Gwenllian (Uchaf), Foel Grach, Carnedd Llewellyn, Yr Elen, Carnedd Dafydd and Pen yr Ole Wen.



This is mainly a long distance walking route, with only short sections of scrambling apart from the ascent / descent of Pen yr ole Wen. 



Variations on the route can include other peaks such as Drum, Pen yr Helgi ddu and Pen llithrig y wrach. 



Start and end points vary, but the most common are either Bwlch y ddeuifaen (SH ) or Anafon (SH ) carparks at the North end and the various parking areas in the Ogwen valley to the South. Plan carefully since public transport back to the start point is not easy, and be aware that although easy in clear weather, navigation can be very difficult in the frequent thick mist. 



The Carneddau traverse forms the Northern part of the Welsh 3000's challenge.",https://www.ukclimbing.com/logbook/crags/carnedd_llewelyn-13727/carneddau_traverse-273632
Bosigran Ridge a.k.a Commando Ridge (Bosigran Ridge Area),50.17390,-5.62140,Cornwall,VD,Bosigran Ridge Area,ridges_ewi,"Very Difficult (easy rock climb) · 161m · Bosigran Ridge Area · ★★★

Rockfax: The best VDiff in the West Country. Although protection is always at hand, the exposure, sections of down climbing and the traversing nature of the route call for all party members to be competent at the grade. Slings are very useful. Start at a belay ledge just before the arete.
1) 25m. Move left around the arete to a ramp above the zawn. Move along to a corner at the end of the ramp. Climb the wall on its left on good holds, left and then back slightly right, to beneath a vertical crack. Climb the crack on superb holds to a belay on the ridge.
2) 10m. Move along the easy-angled ridge to a belay at the base of an open corner that forms a chimney at its top.
3) 18m. Climb the corner and chimney to a belay under a neb.
4) 16m. Move up left to beneath the neb, and then make a traverse left through a large gap and climb down to a belay at a col.

5) 17m. Move up the ridge to where it steepens and move left to a traverse line. Follow the traverse line for about 5m and then climb a short corner up onto the ridge. Move along the ridge to a belay on its summit.

6) 30m. Downclimb a corner on the right of the ridge (when looking up the ridge) and then scramble along easy ground to a belay in the next col.

7) 25m. Move up the ridge to a perched block and traverse the foot ledge on its right. Descend awkwardly to a belay in the col.

8) 20m. Make a tricky move onto the right side of the pinnacle (this is the large pinnacle with the memorial plaque on it). Climb the face and ridge all the way to finish at the point where the ridge is crossed at the start of the descent. 

9) VS 4b (optional). Another pitch is possible but is much tougher than the rest of the climb.",https://www.ukclimbing.com/logbook/crags/bosigran_ridge_area-565/bosigran_ridge_aka_commando_ridge-890
Arrowhead Ridge Direct (The Napes),54.47960,-3.21991,Cumbria,VD,The Napes,ridges_ewi,"Very Difficult (easy rock climb) · 80m · The Napes · ★★★

An excellent and exposed climb, characterised by the distinctive Arrowhead at the top of the steep section. Start at the  left side of the lowest point of the next major ridge, which is found left of the gully left of Abbey Buttress.

1.) 15m, easy rocks followed by steeper climbing leads to a ledge.

2.) 25m, the steep ridge ahead is climbed either direct or round the corner on the right to the top of a small pinnacle. Step off the pinnacle onto the slab, ascend to the base of the Arrowhead then make an exposed move on good holds to the top.

3.) 10m, stride across the gap and pass along a horizontal section of the ridge.

4.) 30m, scramble along the ridge, passing the Stride en route.

Rockfax: The leftmost of the big Napes ridges is defined by the arrowhead pinnacle at the end of its steepest section. Start directly below the ridge, which is gained by following the Climbers' Traverse from The Dress Circle.
1) 15m. Climb the corner and rock on its right to a ledge.
2) 22m. Continue up the arete to a pinnacle and step across onto a slab. Follow the slab to the arrowhead and make some steep moves up onto it - belay.
3) 20m. Bridge out over to the ridge. Climb it via slabby rock to belay where the angle eases.
4) 30m. Climb along the ridge past a gap to meet up with the descent route.",https://www.ukclimbing.com/logbook/crags/the_napes-662/arrowhead_ridge_direct-8169
Ashness Ghyll Scramble (Ashness Gill),54.56390,-3.11030,Cumbria,3S,Ashness Gill,british_3_star,"Grade 3S scramble (serious) · Ashness Gill · ★★★

A gill scramble up Ashness Gill above the famous Ashness Bridge in Borrowdale — waterfall steps with Derwentwater spread out behind. Graded 3S: serious in anything but dry conditions.",https://www.ukclimbing.com/logbook/crags/ashness_gill-1841/ashness_ghyll_scramble-154691
Bell Rib (Yewbarrow),54.46490,-3.27680,Cumbria,Grade-3,Yewbarrow,ridges_ewi,"Grade 3 scramble · 80m · Yewbarrow · ★

The direct way up the ridge of Yewbarrow",https://www.ukclimbing.com/logbook/crags/yewbarrow-15657/bell_rib-408806
Broad Stand (Scafell East Buttress),54.44950,-3.22000,Cumbria,D,Scafell East Buttress,ew_classics,"Difficult (easy rock climb) · Scafell East Buttress

The infamous short cut off Mickledore between Scafell Pike and Scafell — a short, polished Diff step with a long history of accidents. Far harder than its length suggests; many parties rope up or go round via Foxes Tarn.",https://www.ukclimbing.com/logbook/crags/scafell_east_buttress-681/broad_stand-7085
Cam Crag Ridge (Cam Crags Borrowdale),54.49180,-3.14160,Cumbria,M,Cam Crags Borrowdale,british_3_star+ridges_ewi,"Moderate (easy rock climb) · Cam Crags Borrowdale · ★★★

A good Moderate/Grade 2 scramble on clean rock. It is possible to choose a number of lines depending on how difficult you wish to make it but the following description may be helpful. From the path up Langstrath head up to the bottom of the crag. The initial buttress is reached through a jumble of large boulders. Climb diagonally left across the face, and up the wall on good holds to finish up a narrow ridge. Move up to the main ridge. Take the obvious diagonal crack up the steepening into a short chimney. Big holds on clean solid rock. The steepness then eases, before the next rock band . Follow another diagonal sloping crack up the next steepening again plenty of big holds. Keep to the nose of the ridge and further rocky steps inter-spaced by short grassy terraces. Follow these rocky steps to the top.",https://www.ukclimbing.com/logbook/crags/cam_crags_borrowdale-2477/cam_crag_ridge-50974
