Name,Description,Walk time,Location,Tags
BAKER’S PIT LAKE & FOLLY,"Once a china clay works, now nature reserve with deep freshwater quarry popular for a quite but No Swimming. There’s a ruined engine house on the way up. Afterward continue 1km SE to Roger’s Tower, a quirky folly inside Castle-an-Dinas hillfort with ruined farmhouse adjacent. Turn L off the B3311 from Penzance at Nancledra. After 1 mile turn L to Georgia and park at the road end then SW on track.",15 mins,"50.1667, -5.5295","[""Uncertain access"", ""Heritage / ruins"", ""Walk in""]"
"JUBILEE POOL LIDO, PENZANCE","UK’s largest seawater lido, an Art Deco classic right on the shore with super café and a geothermally heated pool too. Locals also swim all year round off Battery Rocks below; steps lead into the water. Battery Road, TR18 4FF, 01736 369224.",2 mins,"50.1151, -5.5313","[""Entry fee""]"
CARN MARTH POOL & THEATRE,"Old granite quarry amid heather, with smooth flat rocks and deep spring water, near summit of Carn Marth. There’s also an outdoor theatre in the quarry below. The Great Flat Lode cycle route passes close by. Near top of Lanner Hill, A393, take Carn Marth lane by the bus stop (dead-end). Continue up, bearing R then L at Wheal Amelia mine. After 250m park outside the old quarry/theatre, TR16 5TA and continue up track on foot 250m.",5 mins,"50.2233, -5.203","[""Heritage / ruins"", ""Walk in"", ""Jump or rope swing""]"
"TREVASSACK LAKE, HELSTON","Beautiful freshwater lake for swimming, paddleboarding or sailing. Run by the Children's Sailing Trust. Café and come accommodation on site. £6.50 per swim. Trevassack Lake Garras, Helston TR12 6LH. 01326 702326",2 mins,"50.0560, -5.1981","[""Entry fee""]"
"TREMAYNE QUAY, HELFORD","Tidal stone quay reached downstream path through ancient woodland. High tide only, S side of estuary. Parking on lane TR12 6DB. On N side is an even more remote tidal quay, Scott’s Quay. Bear E down on lane from Trengilly Wartha Inn, Nancenoy, (TR11 5RP, 01326 340332) and find path on R after 300m (50.1026, -5.1647)",20 mins,"50.0908, -5.1681","[""Good for SUPs"", ""Walk in"", ""Jump or rope swing""]"
"CARNSEW POOL, MABE BURNTHOUSE","Spring-fed quarry with sheer granite sides. 300m W of Mabe Burnthouse on Antron Hill find bridleway on R, after Estuary View cul de sac (where you could park).",5 mins,"50.1661, -5.1387","[""Uncertain access""]"
KENNALL VALE NATURE RESERVE,"Deep water-filled quarry, plus streams waterfalls, leats and old waterwheels from the ruined mills where gunpowder was manufactured. Entrance track through wall on R on tiny Cot Hill, Ponsanooth, TR3 7HG. Park on Kennall Vale and walk up 150m. Respect signage, this is a nature reserve.",5 mins,"50.1954, -5.1488","[""Uncertain access"", ""Heritage / ruins"", ""Nature / wild flowers""]"
ROUNDWOOD QUAY & HILLFORT,"Impressive old stone quay area with ruins, hillfort, woods and swings. High tide only. Limited parking at end of rough track, signed as Byway, on lane S of Cowlands.",5 mins,"50.2237, -5.0313","[""Long swim possible"", ""Jump or rope swing""]"
BURNGULLOW COMMON LAKE,"Completely wild clay lake with white beaches, surrounded by rhododendron woodland. It may be private so observe any signage. Turn off A3058 between Lanjeth and Trewoon (dead-end) and continue ¾ mile to find layby on L at 50.3498, -4.8315, PL26 7TR. A trail opp leads down into woods. After 300m find lake up on R.",5 mins,"50.3498, -4.8262","[""Long swim possible"", ""Uncertain access"", ""Private land, be discreet""]"
"CARN GREY ROCK & LAKE, TRETHURGY","It’s fun to climb the granite tor of Carn Grey. Below is a small pretty quarry lake. 400m S of Trethurgy on St Austell road, bear off R on track to car park at PL26 8TE, 50.3629, -4.7647. There are more clay pit pools to admire in the area, though mostly fenced and No Swimming. This one is frequented by swimmers 50.3659, -4.7706.",3 mins,"50.3628, -4.7666",[]
