name,country,county,lat,lng,total_routes,rocktype,already_on_map,url
Orphaned Route Crag,England,Avon,0,0,128,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/orphaned_route_crag-29453
Cherry Hinton Chalk Quarry,England,Cambridgeshire,52.17778,0.1675,12,Chalk,,https://www.ukclimbing.com/logbook/crags/cherry_hinton_chalk_quarry-1198
Kynance Cove,England,Cornwall,49.97281,-5.23205,17,Serpentine,,https://www.ukclimbing.com/logbook/crags/kynance_cove-28456
Allen Crags,England,Cumbria,54.4661,-3.1802,14,UNKNOWN,yes,https://www.ukclimbing.com/logbook/crags/allen_crags-14981
Arnison Crag,England,Cumbria,54.52635,-2.93859,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/arnison_crag-15663
Ashness Gill,England,Cumbria,54.56389,-3.11028,2,UNKNOWN,yes,https://www.ukclimbing.com/logbook/crags/ashness_gill-1841
Barf,England,Cumbria,54.6296,-3.21844,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/barf-15658
Base Brown,England,Cumbria,54.49199,-3.19797,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/base_brown-15203
Beckthorns Gill,England,Cumbria,54.57972,-3.05194,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/beckthorns_gill-1863
Belles Knott,England,Cumbria,54.46778,-3.08306,1,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/belles_knott-11921
Birker Force Crag,England,Cumbria,54.38806,-3.25333,2,Granite,yes,https://www.ukclimbing.com/logbook/crags/birker_force_crag-16024
Birkside Gill,England,Cumbria,54.50333,-3.04222,3,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/birkside_gill-1861
Black Wars,England,Cumbria,54.4289,-3.1297,31,Rhyolite,,https://www.ukclimbing.com/logbook/crags/black_wars-8596
Blea Water Crag,England,Cumbria,54.4894,-2.8597,13,Rhyolite,,https://www.ukclimbing.com/logbook/crags/blea_water_crag-1301
Blencathra,England,Cumbria,54.6401,-3.0498,27,Slate,yes,https://www.ukclimbing.com/logbook/crags/blencathra-13876
Boredale Head,England,Cumbria,54.54581,-2.89964,1,Volcanic tuff,,https://www.ukclimbing.com/logbook/crags/boredale_head-23137
Borlase,England,Cumbria,54.40143,-3.08332,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/borlase-29088
Bowfell Links,England,Cumbria,54.4464,-3.1658,28,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/bowfell_links-1801
Brandy Crag,England,Cumbria,54.38002,-3.19426,60,Rhyolite,,https://www.ukclimbing.com/logbook/crags/brandy_crag-8974
Brim Fell,England,Cumbria,54.37733,-3.12437,4,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/brim_fell-14971
Broad Crag,England,Cumbria,54.4574,-3.2069,6,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/broad_crag-16191
Broadcrag Tarn Buttress,England,Cumbria,54.45334,-3.21246,1,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/broadcrag_tarn_buttress-32869
Brown Cove Crags,England,Cumbria,54.5331,-3.0369,25,Rhyolite,yes,https://www.ukclimbing.com/logbook/crags/brown_cove_crags-1295
Browney Gill,England,Cumbria,54.435,-3.13472,3,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/browney_gill-16003
"Buckbarrow, Wasdale",England,Cumbria,54.4392,-3.3339,182,Rhyolite,,https://www.ukclimbing.com/logbook/crags/buckbarrow_wasdale-664
Cam Spout Crag,England,Cumbria,54.4406,-3.2089,12,Rhyolite,,https://www.ukclimbing.com/logbook/crags/cam_spout_crag-723
Castle How Crag,England,Cumbria,54.39417,-3.17667,26,Rhyolite,,https://www.ukclimbing.com/logbook/crags/castle_how_crag-12307
Cold Pike Far West,England,Cumbria,54.42332,-3.14773,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/cold_pike_far_west-15144
"Combe Head and Gill, Combe Ghyll",England,Cumbria,54.48889,-3.15917,3,Rhyolite,,https://www.ukclimbing.com/logbook/crags/combe_head_and_gill_combe_ghyll-9963
Coniston,England,Cumbria,54.3698,-3.0865,1,Ignimbrite,,https://www.ukclimbing.com/logbook/crags/coniston-25694
Cove Crag,England,Cumbria,54.4944,-3.2955,9,Rhyolite,,https://www.ukclimbing.com/logbook/crags/cove_crag-28661
Crag Band,England,Cumbria,54.3726,-3.1701,44,Rhyolite,,https://www.ukclimbing.com/logbook/crags/crag_band-3149
Crinkle Crags - Long Top,England,Cumbria,54.43372,-3.15981,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/crinkle_crags_-_long_top-16190
Crinkle Gill,England,Cumbria,54.4369,-3.1361,22,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/crinkle_gill-1821
Crook Crag,England,Cumbria,54.3785,-3.2341,30,Andesite,,https://www.ukclimbing.com/logbook/crags/crook_crag-28894
Dale Head,England,Cumbria,54.52716,-3.20236,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/dale_head-13890
Dobgill Crag,England,Cumbria,54.51591,-3.0603,18,Rhyolite,,https://www.ukclimbing.com/logbook/crags/dobgill_crag-24246
Dove Crag (Dovedale),England,Cumbria,54.4894,-2.9647,57,Rhyolite,,https://www.ukclimbing.com/logbook/crags/dove_crag_dovedale-481
"Dove Nest Crag, Combe Ghyll",England,Cumbria,54.4942,-3.1547,20,Rhyolite,yes,https://www.ukclimbing.com/logbook/crags/dove_nest_crag_combe_ghyll-2650
Dow Crag,England,Cumbria,54.3703,-3.1366,153,Rhyolite,yes,https://www.ukclimbing.com/logbook/crags/dow_crag_cumbria-355
Dungeon Ghyll,England,Cumbria,54.44972,-3.10278,3,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/dungeon_ghyll-1825
Eagle Crag (Grisedale),England,Cumbria,54.52,-2.9947,53,Rhyolite,,https://www.ukclimbing.com/logbook/crags/eagle_crag_grisedale-448
Easdale Gill,England,Cumbria,54.4666,-3.08278,1,Rhyolite,,https://www.ukclimbing.com/logbook/crags/easdale_gill-10800
Easedale Gill,England,Cumbria,54.46912,-3.05264,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/easedale_gill-11922
Eel Crag (Coledale),England,Cumbria,54.5758,-3.2497,4,Slate,,https://www.ukclimbing.com/logbook/crags/eel_crag_coledale-1842
Esk Buttress (Dow Crag),England,Cumbria,54.4478,-3.1983,55,Rhyolite,yes,https://www.ukclimbing.com/logbook/crags/esk_buttress_dow_crag-724
